,ab_id,px,pz,code,pitch_type,b_count,s_count,zones,swing,result
99275,2017130779,0.8641585783769459,1.55041618702434,X,KC,1.0,2.0,13,1,Out
100071,2017136742,0.0740116072528226,4.16495166111565,B,FF,0.0,0.0,10,0,Ball
100072,2017136742,-0.364735976763094,2.18068577164116,E,FF,1.0,0.0,6,1,Hit
100101,2017136761,0.9963249160882032,2.78321023157082,B,FT,0.0,0.0,13,0,Ball
100102,2017136761,-0.655615396372588,1.2399940948288402,B,CH,1.0,0.0,15,0,Ball
100103,2017136761,-0.6287984789012809,0.926300213937638,B,CH,2.0,0.0,15,0,Ball
100104,2017136761,-0.28784770088875106,3.0257861291702097,C,FF,3.0,0.0,0,0,Ball
100105,2017136761,-1.21444755085701,0.980697959174823,B,FC,3.0,1.0,14,0,Ball
100124,2017136780,0.874185138410497,2.7950860458574303,C,FC,0.0,0.0,13,0,Ball
100125,2017136780,-1.02686770372083,1.82319540287534,B,FC,0.0,1.0,12,0,Ball
100126,2017136780,-0.5887376264734541,1.4954617750184398,B,CU,1.0,1.0,15,0,Ball
100127,2017136780,0.7983507576266,1.7384696599214098,C,CH,2.0,1.0,8,0,Ball
100128,2017136780,-1.95235762582025,1.77570751399459,B,FC,2.0,2.0,12,0,Ball
100129,2017136780,0.634069226102385,2.66792283050259,F,FC,3.0,2.0,5,1,Foul
100130,2017136780,1.2714542359323702,2.9436124948138898,B,FF,3.0,2.0,13,0,Ball
100158,2017136794,-0.0988747678284025,2.29232021653889,C,CU,0.0,0.0,4,0,Ball
100159,2017136794,-0.4196396142377949,0.859764576114607,B,CH,0.0,1.0,15,0,Ball
100160,2017136794,-0.32566136643639004,2.45552719747244,C,CU,1.0,1.0,3,0,Ball
100161,2017136794,0.392391169912624,3.69680065664172,D,FF,1.0,2.0,10,1,Hit
101106,2017143084,0.2612101247300561,1.79892183679619,C,SL,0.0,0.0,7,0,Ball
101107,2017143084,-1.2726576170843502,2.06159422468384,F,SI,0.0,1.0,12,1,Foul
101108,2017143084,1.21544322700876,1.62115127276892,B,SL,0.0,2.0,13,0,Ball
101109,2017143084,0.20004845438602695,1.40553312008968,X,FS,1.0,2.0,15,1,Out
101131,2017143104,-0.770076029088788,1.33376380711508,S,SI,0.0,0.0,15,1,Strike
101132,2017143104,0.53013968730281,2.25083147255776,F,SL,0.0,1.0,5,1,Foul
